WB_name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SE542200-113400	0	0.170679173	0.341358346	0.512037519	0.682716692	0.853395866	1.024408549	1.197452131	1.370495714	1.543539296	1.716582879	1.889626462	2.064420741	2.242298322	2.420175904	2.598053485	2.775931066	2.953808647	3.135289915	3.318035241	3.500780568	3.683525894	3.866271221	4.049972801	4.23628327	4.422593738	4.608904207	4.795214675	4.981525144	5.17191148	5.362746476	5.553581472	5.744416468	5.935251463	6.129028801	6.324317103	6.519605406	6.714893709	6.910182011	7.108972555	7.310745589	7.512518623	7.714291657	7.916064691	8.122308218	8.331736056	8.541163895	8.750591733	8.960019571	9.175658442	9.392762781	9.609867119	9.826971458	10.04544853	10.26931452	10.49318052	10.71704651	10.94091251	11.17027019	11.40159714	11.63292408	11.86425102	12.09945529	12.34016652	12.58087775	12.82158898	13.06508291	13.31654577	13.56800863	13.81947149	14.07378199	14.33533975	14.59689752	14.85845528	15.12478603	15.3967461	15.66870616	15.94066622	16.22126404	16.50427224	16.78728044	17.07345775	17.36922596	17.66499416	17.96076237	18.27383067	18.5895451	18.90525954	19.24462998	19.59414272	19.94365545	20.33020057	20.72386301	21.13549975	21.58936881	22.05285539	22.60767988	23.210089	23.92737751	24.97069355	30
SE543550-104000	0	0.169117391	0.338234782	0.507352173	0.676469564	0.845586955	1.014793991	1.18494241	1.355090829	1.525239249	1.695387668	1.865536087	2.036116218	2.208323097	2.380529976	2.552736856	2.724943735	2.897150614	3.070264172	3.244722235	3.419180297	3.59363836	3.768096422	3.942554484	4.118638048	4.295519625	4.472401203	4.649282781	4.826164359	5.003092896	5.182701435	5.362309975	5.541918515	5.721527054	5.901135594	6.082277341	6.265296371	6.448315401	6.631334431	6.814353461	6.997372491	7.184485192	7.371657521	7.558829849	7.746002177	7.933174505	8.123410477	8.315347611	8.507284745	8.699221879	8.891159013	9.085497035	9.282979786	9.480462537	9.677945289	9.87542804	10.07539026	10.27958878	10.48378729	10.68798581	10.89218433	11.10026379	11.31268453	11.52510527	11.73752602	11.94994676	12.16998932	12.39238148	12.61477363	12.83716578	13.06266189	13.29664438	13.53062687	13.76460936	13.99859184	14.24750741	14.49651339	14.74551937	14.99452535	15.26418184	15.53430256	15.80442327	16.08101903	16.37460297	16.66818691	16.96177085	17.28125028	17.60460651	17.92796274	18.28420385	18.64987097	19.01913383	19.4694216	19.91970937	20.44210089	20.98013917	21.65113188	22.43219198	23.4380935	24.96686906	31
SE545500-105150	0	0.104472278	0.208944557	0.313416835	0.417889114	0.522361392	0.626833671	0.731305949	0.835778228	0.940250506	1.04597091	1.153358806	1.260746702	1.368134598	1.475522494	1.58291039	1.690298286	1.797686182	1.905074078	2.013080488	2.125798277	2.238516065	2.351233854	2.463951643	2.576669431	2.68938722	2.802105009	2.914822797	3.029368896	3.149569574	3.269770251	3.389970928	3.510171605	3.630372283	3.75057296	3.870773637	3.990974314	4.119776826	4.249277673	4.37877852	4.508279367	4.637780214	4.767281061	4.896781908	5.028395061	5.168303697	5.308212333	5.44812097	5.588029606	5.727938243	5.867846879	6.008376591	6.159489355	6.310602119	6.461714883	6.612827647	6.763940411	6.915053175	7.07152963	7.234892235	7.39825484	7.561617445	7.72498005	7.888342655	8.056745146	8.236031257	8.415317369	8.59460348	8.773889591	8.953175702	9.146538701	9.344877777	9.543216853	9.741555929	9.939895006	10.15474021	10.37676237	10.59878453	10.82080669	11.05003605	11.30941992	11.5688038	11.82818767	12.10787855	12.42741104	12.74694354	13.08537626	13.49575706	13.90613787	14.37566833	14.86273934	15.39764372	15.95131724	16.56758336	17.21486195	17.919023	18.7121103	19.60553382	20.67966165	22.23101731	31
SE545900-133001	0	0.247855489	0.495710978	0.743566467	0.991421955	1.241409198	1.491472864	1.741536529	1.991600194	2.245849525	2.500244343	2.75463916	3.009258403	3.269973018	3.530687632	3.791402246	4.053074536	4.318579923	4.58408531	4.849590697	5.116798356	5.386230568	5.65566278	5.925094992	6.197342279	6.470673545	6.744004811	7.017625464	7.295519399	7.573413335	7.85130727	8.131757459	8.415149545	8.69854163	8.981933715	9.271573063	9.561637793	9.851702523	10.14439868	10.43984748	10.73529628	11.03152151	11.33443159	11.63734166	11.94025173	12.25220426	12.56637865	12.88055305	13.20227968	13.52863891	13.85499814	14.18971245	14.53110695	14.87250145	15.22340944	15.5799882	15.93656696	16.30402248	16.67383161	17.04559236	17.43193946	17.81828656	18.21733346	18.62765771	19.04060715	19.47929176	19.91797638	20.37895557	20.84506198	21.33091338	21.82659625	22.34330138	22.87131762	23.42183574	23.97960491	24.56114885	25.14944731	25.75563105	26.37553558	27.00490334	27.6603051	28.3279014	29.00897114	29.71751552	30.44254456	31.18494462	31.9474609	32.73154572	33.53289156	34.35325195	35.19423287	36.05675539	36.94472264	37.86286199	38.81400431	39.80858704	40.86756595	42.01848476	43.33328444	44.8891167	49
SE550800-094700	0	0.131650293	0.263300587	0.39495088	0.526601174	0.658251467	0.78990176	0.921552054	1.054228161	1.188416853	1.322605545	1.456794236	1.590982928	1.725171619	1.859360311	1.993549003	2.132141583	2.270956568	2.409771553	2.548586538	2.687401524	2.826216509	2.965031494	3.111744592	3.261117242	3.410489893	3.559862544	3.709235195	3.858607845	4.008687048	4.171284387	4.333881725	4.496479063	4.659076402	4.82167374	4.984271078	5.157549319	5.331971436	5.506393552	5.680815668	5.855237784	6.031775457	6.218638612	6.405501766	6.592364921	6.779228076	6.96609123	7.164538159	7.365553119	7.566568079	7.767583038	7.968597998	8.183377428	8.4007052	8.618032973	8.835360745	9.056775751	9.2909624	9.52514905	9.7593357	9.99352235	10.24801545	10.50308621	10.75815696	11.01436879	11.29144276	11.56851673	11.8455907	12.13286455	12.43297793	12.73309131	13.0359887	13.36126479	13.68654088	14.01265176	14.36090653	14.7091613	15.06181689	15.4367647	15.8117125	16.20080716	16.60417199	17.0080643	17.43965959	17.87125489	18.32789158	18.79517364	19.28985839	19.80592882	20.35996158	20.93687452	21.57067909	22.23920735	22.96403915	23.78457072	24.70664715	25.75745512	26.96636451	28.4347419	30.24863157	35
SE551200-193000	0	0.62024247	1.241148839	1.863103595	2.487604391	3.11333341	3.741377089	4.370895766	5.00145252	5.634384831	6.268356368	6.903749273	7.541098248	8.179407163	8.81928359	9.460727417	10.10315867	10.74753384	11.39346575	12.04057902	12.6903727	13.34168222	13.9943715	14.65010044	15.3074076	15.96649001	16.6290286	17.29346582	17.96008178	18.63057596	19.30331737	19.9785111	20.65831343	21.34062838	22.02551149	22.71516293	23.40790397	24.10372479	24.80476209	25.51099534	26.22250597	26.94131426	27.66818347	28.40086831	29.1396019	29.88604574	30.64122599	31.40434315	32.1756342	32.9553094	33.74412305	34.53998886	35.34357822	36.15575963	36.97794894	37.81094858	38.65263799	39.50391728	40.36550845	41.23788039	42.12124879	43.01555788	43.92274729	44.84304108	45.77859676	46.73505424	47.70720067	48.69204242	49.68947074	50.70092722	51.72771806	52.7697905	53.82708059	54.89954333	55.98756813	57.09130522	58.20928396	59.34211816	60.49138398	61.66075229	62.85100926	64.06101361	65.29418784	66.5576737	67.85617892	69.18953126	70.55643828	71.95345556	73.38867647	74.85929671	76.38285019	77.96749124	79.60847034	81.321523	83.12539118	85.03563381	87.16444172	89.60786061	92.77779824	97.08157278	114
SE551700-130851	0	0.066669866	0.133339731	0.200009597	0.266679463	0.333349328	0.400019194	0.46668906	0.533358925	0.600028791	0.666698656	0.733368522	0.800038388	0.866708253	0.933378119	1.000049366	1.068639131	1.137228896	1.205818661	1.274408425	1.34299819	1.411587955	1.480177719	1.548767484	1.617357249	1.685947013	1.754536778	1.823126543	1.891716307	1.960306072	2.030383251	2.102503677	2.174624102	2.246744528	2.318864954	2.390985379	2.463105805	2.535226231	2.607346656	2.679467082	2.751587508	2.823707933	2.895828359	2.967948784	3.042425575	3.118787213	3.19514885	3.271510488	3.347872126	3.424233764	3.500595402	3.576957039	3.653318677	3.729680315	3.806041953	3.882403591	3.958765229	4.041809856	4.13269952	4.223589184	4.314478849	4.405368513	4.496258177	4.587147841	4.678037505	4.76892717	4.859816834	4.950706498	5.050418924	5.160586758	5.270754592	5.380922426	5.49109026	5.601258094	5.711425928	5.821593762	5.931761596	6.053163539	6.192848525	6.332533512	6.472218499	6.611903485	6.751588472	6.891273458	7.046929134	7.258674117	7.470419101	7.682164084	7.893909068	8.147555871	8.443277758	8.738999645	9.045293845	9.431059695	9.816825544	10.26152927	10.7595221	11.39730876	12.24418478	13.54171875	17
SE552050-133751	0	0.111657816	0.223315631	0.334973447	0.446631263	0.558289079	0.669946894	0.78160471	0.893262526	1.004969973	1.117754067	1.230538161	1.343322255	1.456106349	1.568890444	1.681674538	1.794458632	1.907242726	2.020420927	2.135424495	2.250428062	2.365431629	2.480435196	2.595438763	2.710442331	2.825445898	2.940449465	3.056617701	3.174036664	3.291455627	3.40887459	3.526293553	3.643712517	3.76113148	3.878550443	3.995969406	4.117474373	4.239124583	4.360774794	4.482425005	4.604075215	4.725725426	4.847375637	4.969025847	5.093644216	5.219276482	5.344908748	5.470541014	5.596173281	5.721805547	5.847437813	5.973070079	6.102441523	6.232833165	6.363224806	6.493616448	6.624008089	6.75439973	6.884791372	7.01702237	7.163210399	7.309398428	7.455586457	7.601774486	7.747962515	7.894150544	8.04405778	8.203724309	8.363390838	8.523057367	8.682723896	8.842390425	9.002225	9.174935714	9.347646429	9.520357143	9.693067857	9.865778571	10.04191347	10.2299893	10.41806514	10.60614098	10.79421682	10.98229266	11.21683455	11.45620592	11.69557728	11.93494864	12.21829847	12.51805982	12.81782117	13.15309927	13.54340597	13.93371267	14.4166684	14.9185781	15.55196185	16.27816629	17.20314356	18.56673094	23
SE552500-124461	0	0.05692399	0.113847981	0.170771971	0.227695962	0.284619952	0.341543943	0.398467933	0.455391924	0.512315914	0.569239905	0.626163895	0.683087886	0.740011876	0.796935867	0.853859857	0.910783848	0.967707838	1.026286439	1.087034221	1.147782003	1.208529785	1.269277567	1.330025349	1.390773131	1.451520913	1.512268695	1.573016477	1.633764259	1.694512041	1.755259823	1.816007605	1.876755387	1.937503169	1.998250951	2.065497487	2.132936683	2.200375879	2.267815075	2.335254271	2.402693467	2.470132663	2.537571859	2.605011055	2.672450251	2.739889447	2.807328643	2.874767839	2.942207035	3.010178155	3.081336161	3.152494168	3.223652174	3.29481018	3.365968187	3.437126193	3.508284199	3.579442206	3.650600212	3.721758218	3.792916225	3.864074231	3.935232238	4.006847727	4.0831	4.159352273	4.235604545	4.311856818	4.388109091	4.464361364	4.540613636	4.616865909	4.693118182	4.769370455	4.845622727	4.921875	4.998127273	5.080390567	5.162805208	5.245219848	5.327634488	5.410049128	5.492463768	5.574878408	5.657293048	5.739707689	5.822122329	5.904536969	5.986951609	6.08518552	6.186395173	6.287604827	6.38881448	6.490024133	6.591233786	6.692443439	6.793653092	6.894862745	6.996072398	7.516810897	9
SE552670-142281	0	0.14043575	0.2808715	0.42130725	0.561743	0.70217875	0.8426145	0.98305025	1.1251099	1.267392448	1.409674995	1.551957543	1.69424009	1.836522638	1.978805185	2.124598879	2.271007153	2.417415426	2.5638237	2.710231974	2.856640247	3.003140183	3.153950617	3.304761051	3.455571485	3.60638192	3.757192354	3.908002788	4.061087901	4.217731127	4.374374354	4.53101758	4.687660807	4.844304033	5.00097947	5.162949102	5.324918734	5.486888366	5.648857998	5.81082763	5.972797263	6.139387304	6.306909976	6.474432648	6.64195532	6.809477992	6.977000664	7.15131774	7.326716072	7.502114405	7.677512737	7.85291107	8.029698737	8.213705053	8.39771137	8.581717687	8.765724004	8.949730321	9.140459301	9.333715233	9.526971166	9.720227099	9.913483031	10.1131485	10.3180092	10.52286989	10.72773059	10.93259129	11.15554331	11.38736762	11.61919192	11.85101622	12.09118598	12.34636456	12.60154313	12.8567217	13.12411061	13.40713378	13.69015695	13.97318012	14.28722245	14.60451194	14.92180142	15.26594129	15.618863	15.97178472	16.36104663	16.75346632	17.16369767	17.60402907	18.04954545	18.54134416	19.03714702	19.58836245	20.16021721	20.79294069	21.57572881	22.53411189	23.7277187	25.42059829	31
