Vatten-ID	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Distrikt	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Vattentyp - Sjö	Limnisk vattentypsregion	Medeldjup (m)	Alkalinitet (mekv/l)	Humus (mg Pt/l)
SE748913-160764	Kårtjejaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523, Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE744815-167640	Stainasjaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE718794-173714	Eggelidtjärnen	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE739482-169994	Östersjön	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE730798-150828	Sköruvjaure	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE713452-172410	Bjännsjön	Dalkarlsån - SE25000	Västerbotten - 24	Robertsfors - 2409	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE755413-168450	Alajaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE757875-177381	Narkajärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE746309-182773	Sattajärvi	Torneälven - SE1000	Norrbotten - 25	Pajala - 2521	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE714157-165467	Byssträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481, Vindeln - 2404	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE733529-148578	Laivajaure	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE729068-833633	Hertsöfjärden	Kustområde - SE8009	Norrbotten - 25	Luleå - 2580	Bottenviken	LW	Preliminär vattenförekomst	2-LB	2		L	B
SE730295-146287	Maisor	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE731190-169831	Nörd-Grundträsket	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE738871-158813	Hålkåsjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE743401-162119	Tjaktjajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3DLK	3	D	L	K
SE719963-173326	Varuträsket	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE733572-187109	Iso Karsikkojärvi	Kustområde - SE1002	Norrbotten - 25	Haparanda - 2583	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE734000-172910	Bodträsket	Luleälven - SE9000	Norrbotten - 25	Boden - 2582	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE737933-159466	Pällajaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE741493-164290	Skalka	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE732231-179486	Rånträsket	Råneälven - SE7000	Norrbotten - 25	Luleå - 2580	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE720416-167623	Vajsjön	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE744855-155425	Pastajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE746286-556364	WA25015030	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE742454-177230	Torasjärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE717045-170228	Åsträsket	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE750475-169838	Saksijärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE728563-168179	Vuotnersjön	Åbyälven - SE17000	Norrbotten - 25	Arvidsjaur - 2505	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE708324-168709	Sundströmstjärnen	Hörnån - SE29000	Västerbotten - 24	Nordmaling - 2401	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE728865-144957	Autjejaure	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE753802-154886	Skuokejaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE727017-169286	Stor-Gäddträsket	Byskeälven - SE18000	Norrbotten - 25	Piteå - 2581	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE737549-163451	Tsåkak	Piteälven - SE13000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE727737-167200	Nyträsket	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE720215-161913	Inre Tväråträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE727674-164252	Vattemjaure	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE749851-166612	Arasaiva	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE736804-160569	Louvvajaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3MLK	3	M	L	K
SE755609-167378	Viektahajaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE741546-163478	Maivesjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE752134-161448	Kaukuljaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE717481-168062	Lossmenträsket	Sävarån - SE26000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE721234-166377	Gissträsket	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE731096-148646	Guttajaure	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE733916-168136	WA60300225	Piteälven - SE13000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE730274-159278	Siebnesjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE738362-181784	Alsjärv	Kalixälven - SE4000	Norrbotten - 25	Överkalix - 2513	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE756161-166642	Njållonjaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE745111-169611	Abborrträsket	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE729513-151278	Vuolejaure	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE755055-177175	Pakajärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE743229-162403	Seitejauratj	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE742442-153530	Båtkåjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Preliminär vattenförekomst	3MLK	3	M	L	K
SE753092-162985	Ladtjojaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523, Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3MLK	3	M	L	K
SE761828-173437	Rautujärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE751460-153820	Rätjat-Jaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE739132-182549	Raitajärvi	Sangisälven - SE3000	Norrbotten - 25	Överkalix - 2513, Övertorneå - 2518	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE728227-174670	Stor-Abborrtjärnen	Piteälven - SE13000	Norrbotten - 25	Piteå - 2581	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE760913-633119	Går'Zejav'Ri	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE726380-150241	Gardiken	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3DLK	3	D	L	K
SE729781-170822	Småträsken	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE709735-170620	Kassjön	Umeälven - SE28000	Västerbotten - 24	Umeå - 2480	Bottenviken	LW	Vattenförekomst	2MLB	2	M	L	B
SE717526-176437	Kastfjärden	Kustområde - SE21022	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	2MLB	2	M	L	B
SE736898-154926	Vitträsket	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE760521-168445	Pärvejaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE725751-153209	Gardsjön	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE740732-170525	Kaltisjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE750400-164288	Tjåkkalisjaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE721134-171909	Storkärret	Kågeälven - SE19000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE716559-169976	Lubboträsket	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE735983-150366	Vuordnajaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE760276-160273	Pajep Njuorajaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE753127-177390	Yli-Ankojärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE735822-173936	Lakaträsket	Luleälven - SE9000	Norrbotten - 25	Boden - 2582	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE754338-169959	Väkkäräjärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE731246-172546	Isträsket	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE745113-160510	WA15524820	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE719974-165678	Åmträsket	Umeälven - SE28000	Västerbotten - 24	Norsjö - 2417	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE758456-166676	Niskajärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE758522-161441	Vuolemus Kårsavaggejaur	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE748232-155905	Pärajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE718662-163143	Sikträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE728815-164095	Bijejaure	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE720786-164409	Lidträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481, Norsjö - 2417	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE743033-154094	Jengakjaure H.984	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE749288-157683	Suottas-Jaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE730119-173208	Kisträsket	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	2MLB	2	M	L	B
SE716614-165323	Övre Arvträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE740157-169544	Pastajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE734693-174985	Sandträsket	Luleälven - SE9000	Norrbotten - 25	Boden - 2582	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE752535-177312	Junojärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE759283-175567	Anuntijärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE733804-182389	Stor-Lappträsket	Kalixälven - SE4000	Norrbotten - 25	Kalix - 2514	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE729977-171887	Nörd-Vistträsket	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE747596-159710	Kåbtåjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE735058-181944	Granträsket	Kalixälven - SE4000	Norrbotten - 25	Kalix - 2514	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE746925-155664	Alep Rissajaure	Luleälven - SE9000			Bottenviken	LW	Preliminär vattenförekomst	----				
SE727305-156200	Vällingträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE715784-170123	Granöträsket	Sävarån - SE26000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE735137-156097	Gruttur	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE746635-167444	Pitkejärvi	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE724423-162132	Naggetjaure	Skellefteälven - SE20000	Västerbotten - 24	Malå - 2418	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE726299-159683	Edsträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3GLK	3	G	L	K
SE741156-182274	Pirttijärvi	Torneälven - SE1000	Norrbotten - 25	Övertorneå - 2518	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE733545-178748	Inre-Fällträsket	Råneälven - SE7000	Norrbotten - 25	Luleå - 2580	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE749354-172252	Kukasjärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE740129-168190	Östra Ållojaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE749067-162956	Stuor Tuvva	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE763592-170180	Vutnesj-Jaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE752045-162596	Urtejaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE759395-176022	Ruoksujärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE734132-153692	Jillehaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE717331-167158	Yttre Småträsket	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE723352-155806	Renbergsjön	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE173-1036-L	Kjaardavatnet	Kustområde - SE116117	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Preliminär vattenförekomst	3-LK	3		L	K
SE711521-165656	Örträsksjön	Öreälven - SE30000	Västerbotten - 24	Lycksele - 2481	Bottenviken	LW	Vattenförekomst	2DLB	2	D	L	B
SE750177-179915	Ainettijärvi	Torneälven - SE1000	Norrbotten - 25	Pajala - 2521	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE751507-173415	Äijäjärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE715947-167623	Åmträsket	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE721619-158543	Lill-Bastuträsket	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE734996-152341	Gavasjaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE738907-168105	Norr-Tjalmejaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3MLK	3	M	L	K
SE741442-152912	Nuorjojaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE747897-152120	Raddujaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE758485-167387	Kåsaiva	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE748395-169438	Kieblejaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE732886-173560	Degerträsket	Luleälven - SE9000	Norrbotten - 25	Boden - 2582	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE711540-171513	Kroksjön	Kustområde - SE26027	Västerbotten - 24	Umeå - 2480	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE728884-171602	Finntjärnen	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE719562-163102	Falträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE760143-168319	WA42269138	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE749433-158197	WA70266869	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	4-LK	4		L	K
SE737273-177392	Renoträsket	Vitån - SE6000	Norrbotten - 25	Boden - 2582	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE741039-160467	Levikjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE750944-162289	Kaska-Kaitumjaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE731042-155675	Övra Giertsjaure	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE726872-173117	Segårdsträsket	Piteälven - SE13000	Norrbotten - 25	Piteå - 2581	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE729781-146454	Holmtjärn	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE720887-166877	Norsjön	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE727696-160795	Abborrsjön	Skellefteälven - SE20000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE727230-165022	Stenträsket	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	Bottenviken	LW	Vattenförekomst	3MLB	3	M	L	B
SE728513-160557	Gasa	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE709505-171338	Piparbölessjön	Umeälven - SE28000	Västerbotten - 24	Umeå - 2480	Bottenviken	LW	Vattenförekomst	2MLB	2	M	L	B
SE755733-181609	Meraslompolo	Torneälven - SE1000	Norrbotten - 25	Pajala - 2521	Bottenviken	LW	Vattenförekomst	3GLB	3	G	L	B
SE719959-169480	Månsträsket	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE728369-157045	Nedre Osaträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE734774-164162	Debrik	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE754159-155210	Pajep Skuokejaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE736920-183263	Kiilisjärvi	Sangisälven - SE3000	Norrbotten - 25	Överkalix - 2513, Övertorneå - 2518	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE730607-171797	Manjärv	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE732273-164263	Abraur	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506, Arvidsjaur - 2505	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE750121-153099	Vietjerjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE753737-170328	Sautusjärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE732386-151232	WA10021292	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE734904-162499	Plássajávrre	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE761503-168469	Sinukjaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE726381-152328	Magasjön	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE742682-169398	Muddusluoppal	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE724227-171759	Åselet	Byskeälven - SE18000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE717026-171516	Brännvattnet	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE736043-160480	Stor-Mattaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE709758-167299	Lill-Armsjön	Hörnån - SE29000	Västerbotten - 24	Bjurholm - 2403	Bottenviken	LW	Vattenförekomst	3MLB	3	M	L	B
SE725177-151865	Bastansjön	Umeälven - SE28000	Västerbotten - 24	Storuman - 2421	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE727870-163800	Skidträsket	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE735683-161272	Bårgåjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE740433-159703	Alep Skieltajaureh	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE716262-176362	Degerträsket	Kustområde - SE21022	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	2GLB	2	G	L	B
SE760034-160340	Inkajaure	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE740182-174236	Rappojaure	Råneälven - SE7000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE750509-163156	Läffa	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LK	3		L	K
SE735589-173906	Björnträsket	Luleälven - SE9000	Norrbotten - 25	Boden - 2582	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
SE760387-177599	Hirvasjärvi	Torneälven - SE1000	Norrbotten - 25	Kiruna - 2584	Bottenviken	LW	Vattenförekomst	3MLK	3	M	L	K
SE749059-169439	Muttsijaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE720179-171558	Bjurlidträsket	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	Bottenviken	LW	Vattenförekomst	3-LB	3		L	B
SE724443-175731	Hemträsket	Jävreån - SE16000	Norrbotten - 25	Piteå - 2581	Bottenviken	LW	Vattenförekomst	2-LB	2		L	B
