Vatten-ID	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Distrikt	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Vattentyp - Sjö	Limnisk vattentypsregion	Medeldjup (m)	Alkalinitet (mekv/l)	Humus (mg Pt/l)
SE716972-157889	Roskbäcktjärnen	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LB	3		L	B
SE675803-154553	Norrbosjön	Testeboån - SE51000	Gävleborg - 21	Ockelbo - 2101	Bottenhavet	LW	Vattenförekomst	2---	2			
SE694907-160639	Bondsjön	Gådeån - SE39000	Västernorrland - 22	Härnösand - 2280	Bottenhavet	LW	Vattenförekomst	2-LB	2		L	B
SE706314-168243	Tosjön	Kustområde - SE30031	Västerbotten - 24	Nordmaling - 2401	Bottenhavet	LW	Vattenförekomst	2-LB	2		L	B
SE719223-148771	WA91358469	Ångermanälven - SE38000	Västerbotten - 24	Dorotea - 2425	Bottenhavet	LW	Vattenförekomst	4-LK	4		L	K
SE722081-142872	Jetnemsälven	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	4---	4			
SE700761-143815	Ändsjön	Indalsälven - SE40000	Jämtland - 23	Östersund - 2380	Bottenhavet	LW	Vattenförekomst	3---	3			
SE702144-135687	Stor-Offsjön	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	3---	3			
SE713111-147122	Gärdsjön	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE711943-159242	Stor-Baksjön	Gideälven - SE34000	Västerbotten - 24	Åsele - 2463	Bottenhavet	LW	Vattenförekomst	3-LB	3		L	B
SE668287-149193	Stora Gloten	Dalälven - SE53000	Dalarna - 20	Säter - 2082	Bottenhavet	LW	Vattenförekomst	3---	3			
SE702223-157674	Långsjön	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	Bottenhavet	LW	Vattenförekomst	2GLB	2	G	L	B
SE710856-152631	Kroktjärnen	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE694164-131092	Långnästjärnen	Glomma - SE113000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	4---	4			
SE696449-160758	Mörtsjön	Kustområde - SE38039	Västernorrland - 22	Härnösand - 2280	Bottenhavet	LW	Vattenförekomst	2DL-	2	D	L	
SE707690-143436	Stor-Öretjärnen	Indalsälven - SE40000	Jämtland - 23	Krokom - 2309	Bottenhavet	LW	Vattenförekomst	3---	3			
