EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE651621-133038	Vänern - Dalbosjön	Göta älv - SE108000	Västra Götaland - 14, Värmland - 17	Lidköping - 1494, Mellerud - 1461, Säffle - 1785, Vänersborg - 1487, Åmål - 1492	SE5	SE5	Vänern och dess närområden	LW	Vattenförekomst	NV(F)	S6DLNN	S	6	D	L	N	N
SE659685-136304	Södra Hyn	Göta älv - SE108000	Värmland - 17	Forshaga - 1763, Karlstad - 1780, Kil - 1715	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE661566-134372	Rinnen	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Kil - 1715	SE5	SE5	Borgviksälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE661326-134118	Säveln	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Kil - 1715	SE5	SE5	Borgviksälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE664965-131426	Borgsjön	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Eda - 1730	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE663523-131078	Fjällsjön	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Eda - 1730	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE663496-131213	Öjenässjön	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Eda - 1730	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE663277-130387	Ränken	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Eda - 1730	SE5	SE5	Byälven	LW	Vattenförekomst	NV(F)	S3DLNN	S	3	D	L	N	N
SE671711-134337	Ljusnetjärnarna	Göta älv - SE108000	Värmland - 17	Torsby - 1737	SE5	SE5	Norsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE671450-136285	Östra Grysjön	Göta älv - SE108000	Värmland - 17	Torsby - 1737	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
