EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE728863-168156	Laukersjön	Åbyälven - SE17000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE728797-164252	Njallejaure	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE726670-164307	Mausjaure	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE726080-165992	Norravan	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE725732-165900	Baktsjaure	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE725492-166312	Skatträsket	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE743033-154094	Jengakjaure H.984	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE742622-155222	Sartaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE742234-152791	Mavasjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE742090-153700	Kaskaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE740624-153698	Njuongerjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE740803-156504	Buoktjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740466-156825	Falehaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740783-157216	Sattermjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738883-152001	Tjaktjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738966-157074	Ballekjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738515-150960	Guijaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE738430-152399	Vuoggatjålmjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE737381-159430	Skierfajaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE737933-159466	Pällajaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE737691-154061	Järtajaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE737715-158478	Rappen	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE737522-159855	Vuolle Måskejaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736347-153582	Aleb Tjallasjaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736043-160480	Stor-Mattaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE736442-159976	Bietsasjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736084-154021	Vuoleb Tjallasjaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE735092-159534	Märsajaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE735091-154176	Mittisjön	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE735066-162041	Tjäktjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE735137-156097	Gruttur	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE734287-152621	Ahajaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE734227-162869	Tjipkojaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE734399-159271	Vuoltajaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE734288-157033	Guopasjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE732995-159044	Tjårvesjåkkå	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	KMV(F)	S2DSNN	S	2	D	S	N	N
SE732353-159563	Najaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	KMV(F)	S2SSNN	S	2	S	S	N	N
SE732854-160271	Dellaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE732726-160167	Rackträsk	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE732561-161607	Stor-Laxsjön	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE730274-159278	Siebnesjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE730140-159966	Harrur	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE729274-158587	Östra Mullejaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE728790-158498	Granselet	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE750121-153099	Vietjerjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE749897-153430	Njåmmeljaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE749872-155863	Kutjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE749534-154890	Sallohaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DLNN	S	1	D	L	N	N
SE748094-153100	Virihaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DLNN	S	1	D	L	N	N
SE747930-159876	Kuortesluoppal	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE748056-159522	Lietjit-Jaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE747897-152120	Raddujaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE747648-158784	Pierikjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE745891-155317	Fästajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE745707-156655	Lulep Njåtjosjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE745697-153125	Staddajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE743228-156668	Tarraure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE743224-163247	Harrejaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE743199-159136	Uppmask	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE742666-167549	Porjusselet	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	KMV(F)	S2DSNN	S	2	D	S	N	N
SE740537-169963	Messauremagasinet	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	KMV(F)	S2DLNN	S	2	D	L	N	N
SE740935-164980	Parkijaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	KMV(F)	S2DLNN	S	2	D	L	N	N
SE741014-160285	Peuraure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE740015-165895	Randijaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	KMV(F)	S2DLNN	S	2	D	L	N	N
SE740433-159703	Alep Skieltajaureh	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740380-162277	Vuolep Jervasjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740141-169085	Fatjassjön	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740256-167956	Västra Ållojaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740280-164500	Sjlaptjajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE739164-164717	Piertinjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE737840-171613	Porsidammen	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	KMV(F)	S3DSYN	S	3	D	S	Y	N
SE738907-168105	Norr-Tjalmejaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738852-163171	Alep Uttjajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736829-169797	Kåpponisträsket	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736868-165531	Naustajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736421-168123	Stenträsket	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736462-170921	Subbatträsket	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE741602-180051	Vallsjärv	Kalixälven - SE4000	Norrbotten - 25	Överkalix - 2513	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSNN	S	3	S	S	N	N
SE741261-181200	Jock-Alsjärv	Kalixälven - SE4000	Norrbotten - 25	Överkalix - 2513	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE740811-178407	Övre Lansjärv	Kalixälven - SE4000	Norrbotten - 25	Överkalix - 2513	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE740944-181705	Rönsjärv	Kalixälven - SE4000	Norrbotten - 25	Överkalix - 2513	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSNN	S	3	S	S	N	N
SE740190-178809	Yttre Lansjärv	Kalixälven - SE4000	Norrbotten - 25	Överkalix - 2513	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE736280-183338	Kypasjärv	Sangisälven - SE3000	Norrbotten - 25	Överkalix - 2513	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE738050-180257	Krokträsket	Kalixälven - SE4000	Norrbotten - 25	Överkalix - 2513	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE739132-182549	Raitajärvi	Sangisälven - SE3000	Norrbotten - 25	Överkalix - 2513, Övertorneå - 2518	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE737363-183086	Miekojärvi	Sangisälven - SE3000	Norrbotten - 25	Överkalix - 2513, Övertorneå - 2518	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3DLYN	S	3	D	L	Y	N
SE735528-183898	Kukasjärvi	Sangisälven - SE3000	Norrbotten - 25	Kalix - 2514, Övertorneå - 2518	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE742291-185304	Yli-Kuittasjärvi	Torneälven - SE1000	Norrbotten - 25	Övertorneå - 2518	SE1	SE1TO	Torneälven med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE742566-184171	Mettäjärvi	Torneälven - SE1000	Norrbotten - 25	Övertorneå - 2518	SE1	SE1TO	Torneälven med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE742254-184841	Rantajärvi	Torneälven - SE1000	Norrbotten - 25	Övertorneå - 2518	SE1	SE1TO	Torneälven med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE736024-184239	Riipijärvi	Sangisälven - SE3000	Norrbotten - 25	Övertorneå - 2518	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE735457-184617	Penikkajärvi	Sangisälven - SE3000	Norrbotten - 25	Övertorneå - 2518	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE735704-184717	Koutojärvi	Keräsjoki - SE2000	Norrbotten - 25	Övertorneå - 2518	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE735477-184352	Saarijärvi	Sangisälven - SE3000	Norrbotten - 25	Övertorneå - 2518	SE1	SE1	Sangisälvens och Keräsjoki med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE743143-181027	Teurajärvi	Kalixälven - SE4000	Norrbotten - 25	Pajala - 2521	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE743033-182033	Pirttiniemenjärvi	Kalixälven - SE4000	Norrbotten - 25	Pajala - 2521	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE743100-182846	Suaninkijärvi	Kalixälven - SE4000	Norrbotten - 25	Pajala - 2521	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE742829-183168	Pahajärvi	Kalixälven - SE4000	Norrbotten - 25	Pajala - 2521	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE752836-160874	Jierttajavri	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE752767-156056	Seukokjaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE752448-159831	Vidjajaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE752066-157996	Autajaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	KMV(F)	S1DLNN	S	1	D	L	N	N
SE750589-162435	Harrejaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE750400-164288	Tjåkkalisjaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE750418-167881	Kamasjaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE750509-163156	Läffa	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE748519-176125	Kääntöjärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE748723-175696	Mettäjärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE748671-165623	Riteljaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE748453-172645	Kivijärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE748373-168976	Tapmukjaure	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE746809-168155	Aavakaiju	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE746712-167137	Mälkojaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE746784-166788	Muorjejaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE746522-167273	Ätnajaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE745090-170035	Kelvajärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE744815-167640	Stainasjaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE744843-170227	Saivo	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE744629-167999	Jutsajaure	Luleälven - SE9000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE738745-177108	Storsaivis	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2SSYN	S	2	S	S	Y	N
SE754306-158817	Vanasjaure	SKJOMAVASSDRAGET/OFOTFJORDEN SØR - 173	Norrbotten - 25	Gällivare - 2523, Kiruna - 2584	SE1	SENO1103		LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE753251-165378	Paittasjärvi	Kalixälven - SE4000	Norrbotten - 25	Gällivare - 2523, Kiruna - 2584	SE1	SE1	Kalix- och Töreälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE729809-172257	Västra Muskusträsket	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE729977-171887	Nörd-Vistträsket	Piteälven - SE13000	Norrbotten - 25	Älvsbyn - 2560	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
