WB,n
SE662041-149485,4
SE662114-166021,10
SE662134-139784,3
SE662141-154681,2
SE662161-133621,4
SE662170-144233,2
SE662215-140684,3
SE662238-138548,4
SE662316-145877,4
SE662322-139339,3
SE662355-136669,3
SE662453-133483,2
SE662458-131298,3
SE662536-131389,3
SE662552-158303,3
SE662570-134858,3
SE662581-130115,2
SE662609-134150,2
SE662621-129065,3
SE662665-148445,4
SE662674-164394,3
SE662770-133613,4
SE662814-152179,2
SE662857-149111,4
SE662884-164368,6
SE662927-132600,2
SE662942-138858,2
SE662959-167628,2
SE662994-166164,6
SE663004-135888,2
SE663053-133069,4
SE663072-164112,2
SE663090-153202,3
SE663117-133585,1
SE663196-141796,2
SE663216-148449,18
SE663245-136599,4
SE663246-145669,4
SE663285-131247,2
SE663324-131090,2
SE663368-144040,4
SE663401-141209,3
SE663403-146392,4
SE663426-131715,3
SE663431-130341,3
SE663446-164031,3
SE663461-149292,4
SE663497-144578,2
SE663506-136367,3
SE663532-148571,31
SE663630-147537,2
SE663644-150490,3
SE663666-140462,2
SE663678-133342,4
SE663678-148094,4
SE663734-161589,5
SE663756-131805,3
SE663758-153002,3
SE663764-159182,2
SE663809-129713,2
SE663876-140022,2
SE663888-155472,5
SE663919-166636,14
SE663958-161511,3
SE663992-160212,4
SE664060-165948,3
SE664076-133671,4
SE664099-141107,2
SE664197-149337,31
SE664210-153217,8
SE664222-166844,2
SE664237-148692,4
SE664297-136937,4
SE664321-166998,2
SE664323-148419,4
SE664335-131460,3
SE664343-131964,4
SE664373-130240,5
SE664445-164905,2
SE664470-160092,4
SE664515-147749,4
SE664520-140591,2
SE664552-135452,3
SE664564-154264,3
SE664613-138062,3
SE664614-136702,3
SE664635-148434,2
SE664648-147556,3
SE664669-133615,4
SE664696-132395,2
SE664842-162824,3
SE664879-153995,3
SE664910-153960,8
SE664992-137103,2
SE665037-149215,2
SE665050-151163,3
SE665055-132526,4
SE665087-135953,3
SE665090-160546,4
SE665138-164175,1
SE665217-143902,2
SE665233-158531,2
SE665260-147384,4
SE665302-138478,3
SE665309-165696,6
SE665350-154066,4
SE665397-131724,2
SE665429-135814,4
SE665478-133265,3
SE665508-153620,1
SE665551-134392,2
SE665648-136353,2
SE665667-136013,3
SE665698-141929,3
SE665753-133868,2
SE665768-164748,10
SE665777-133332,2
SE665800-165636,4
SE665901-144023,4
SE665989-135834,4
SE666006-131824,2
SE666009-139182,3
SE666018-140666,3
SE666036-164166,1
SE666037-135222,4
SE666114-138009,3
SE666134-131800,3
SE666158-159878,3
SE666361-137043,3
SE666364-135989,4
SE666394-164380,2
SE666556-150149,1
SE666585-139869,3
SE666639-150586,1
SE666794-135056,4
SE666806-140531,2
SE666830-151744,4
SE666926-137587,4
SE666945-150348,1
SE666992-137730,3
SE667036-134113,2
SE667218-160102,5
SE667288-150936,1
SE667298-143413,4
SE667402-158923,3
SE667444-133296,2
SE667488-143152,4
SE667531-134499,4
SE667566-163131,1
SE667572-152807,3
SE667578-135349,2
SE667603-136877,2
SE667624-141256,4
SE667639-135045,3
SE667777-135548,2
SE667802-143298,3
SE667825-152684,3
SE668028-139334,3
SE668085-134517,2
SE668094-141411,3
SE668313-137912,2
SE668357-132557,2
SE668370-136274,4
SE668386-134259,2
SE668505-142829,4
SE668541-139101,4
SE668549-155987,2
SE668552-155740,3
SE668561-152192,3
SE668622-139207,3
SE668873-138352,3
SE668876-152219,6
SE668881-152393,3
SE668924-137124,4
SE669082-136851,4
SE669082-148761,3
SE669122-132633,4
SE669216-137813,2
SE669223-150684,3
SE669253-139468,3
SE669265-148779,3
SE669274-160365,3
SE669366-133799,2
SE669457-132776,2
SE669457-149129,3
SE669490-132390,3
SE669518-134887,4
SE669560-133220,2
SE669563-148948,3
SE669607-140551,3
SE669616-139976,4
SE669638-163002,4
SE669642-132541,2
SE669650-137090,2
SE669807-134109,2
SE669877-133959,2
SE669918-137419,2
SE669966-153562,4
SE670007-136963,4
SE670009-138616,4
SE670026-147022,4
SE670047-149516,3
SE670076-146226,3
SE670140-160781,4
SE670187-145602,3
SE670202-149006,3
SE670275-146052,30
SE670285-148586,3
SE670310-146166,4
SE670324-135224,4
SE670324-149085,3
SE670389-159935,4
SE670414-146661,2
SE670446-145438,4
SE670589-146598,4
SE670691-134753,4
SE670702-136148,4
SE670733-145167,2
SE670943-139152,4
SE671000-159509,4
SE671022-138484,4
SE671099-133552,2
SE671160-147090,4
SE671215-160017,4
SE671267-138867,4
SE671285-134144,2
SE671301-138338,3
SE671321-153655,4
SE671450-136285,3
SE671514-134541,4
SE671553-135457,4
SE671633-144554,4
SE671660-158075,3
SE671714-158237,3
SE671754-144346,4
SE671774-137701,4
SE671809-142877,4
SE671831-158073,3
SE671999-133016,2
SE672054-134576,2
SE672062-153774,2
SE672096-145257,4
SE672190-152971,2
SE672219-158059,2
SE672299-135687,2
SE672378-153002,2
SE672395-158395,3
SE672434-145454,4
SE672467-148031,25
SE672472-151482,2
SE672487-145539,2
SE672625-134972,4
SE672639-136883,3
SE672680-158573,3
SE672684-158580,2
SE672727-148594,3
SE672733-146557,4
SE672745-157418,2
SE672804-144667,4
SE672928-157021,4
SE672991-152161,3
SE673043-144161,3
SE673085-137452,4
SE673137-153252,4
SE673153-133039,4
SE673205-145468,2
SE673303-133869,4
SE673309-147622,3
SE673354-137504,4
SE673371-156364,3
SE673387-135761,4
SE673419-156474,3
SE673424-147881,3
SE673430-143599,3
SE673437-154439,2
SE673510-141157,4
SE673516-157221,4
SE673523-132053,2
SE673523-134952,4
SE673534-153381,25
SE673573-153892,4
SE673619-140321,4
SE673649-153405,2
SE673682-144192,4
SE673684-149060,4
SE673759-149039,3
SE673806-153475,4
SE673813-153174,4
SE673826-134661,4
SE673835-156708,4
SE673864-156828,4
SE673872-156791,4
SE673889-147175,3
SE673900-156722,4
SE673909-132539,2
SE673916-136844,4
SE674030-157608,4
SE674120-148765,4
SE674135-133156,2
SE674157-137429,4
SE674175-132106,2
SE674194-133845,4
SE674289-142673,3
SE674350-139682,3
SE674540-151538,4
SE674545-157551,2
SE674600-153877,4
SE674624-146104,4
SE674643-133493,4
SE674643-152658,3
SE674668-373755,2
SE674742-132768,4
SE674794-148550,4
SE674799-133203,2
SE674821-136834,4
SE674827-139148,2
SE674876-134297,3
SE674992-143078,4
SE675024-136064,3
SE675057-143325,2
SE675265-142983,4
SE675304-151174,3
SE675408-146390,2
SE675465-150573,4
SE675539-149833,4
SE675545-133318,2
SE675568-156418,2
SE675619-156678,4
SE675647-146009,4
SE675677-153723,4
SE675876-149975,4
SE675913-138636,2
SE675923-131931,14
SE676012-136117,4
SE676123-149994,4
SE676158-134299,3
SE676171-131128,2
SE676199-135647,4
SE676247-151421,3
SE676248-140109,4
SE676265-143856,4
SE676268-149410,4
SE676373-154193,4
SE676445-153291,2
SE676458-138597,4
SE676474-139062,4
SE676657-133076,2
SE676673-142378,4
SE676678-147624,4
SE676776-154105,4
SE676889-155136,3
SE676938-143469,4
SE677023-145872,3
SE677065-156895,4
SE677106-154245,4
SE677107-133933,3
SE677157-142198,2
SE677199-156457,4
SE677200-137506,3
SE677412-155489,4
SE677462-154500,4
SE677506-156174,28
SE677563-134229,4
SE677566-135013,3
SE677574-133607,3
SE677601-154611,4
SE677715-157084,4
SE677733-143932,4
SE677790-156748,4
SE677791-150820,4
SE677830-154241,2
SE677847-157246,2
SE677891-156517,2
SE677902-155501,4
SE677946-151749,4
SE677977-151128,3
SE677987-148786,4
SE678101-139286,4
SE678176-137970,2
SE678180-145408,4
SE678227-153844,4
SE678310-140188,2
SE678319-151571,4
SE678373-150411,4
SE678408-151358,3
SE678460-142974,2
SE678507-153436,2
SE678512-156883,4
SE678860-144068,2
SE679032-137415,2
SE679069-151947,4
SE679132-143479,4
SE679194-143799,2
SE679248-149433,2
SE679283-149349,3
SE679402-142094,4
SE679413-155519,3
SE679609-137264,2
SE679745-140144,2
SE679755-155350,3
SE679792-135143,2
SE679803-155831,4
SE679812-156538,4
SE679885-153715,3
SE679981-156362,4
SE680179-156756,2
SE680232-156537,4
SE680235-141799,30
SE680267-135829,3
SE680284-138206,3
SE680477-141389,3
SE680514-155788,4
SE680532-154508,3
SE680585-156005,2
SE680709-141994,3
SE680751-143560,2
SE680832-155466,2
SE680926-153196,3
SE680970-141452,4
SE681111-155973,4
SE681171-155062,4
SE681190-135213,2
SE681316-154873,4
SE681316-156822,2
SE681395-154978,4
SE681396-140150,4
SE681419-155269,4
SE681552-155449,4
SE681578-156586,2
SE681647-156957,4
SE681700-142327,4
SE681768-135300,2
SE681803-154758,3
SE681830-141057,4
SE681879-155233,6
SE681897-154595,4
SE681936-134125,4
SE681973-140814,4
SE682016-144548,2
SE682027-143508,4
SE682070-151430,2
SE682084-143444,4
SE682176-153952,4
SE682240-153371,2
SE682244-144577,4
SE682252-155269,3
SE682264-144796,2
SE682338-155438,4
SE682466-135550,3
SE682490-155766,4
SE682527-153073,3
SE682618-150475,4
SE682699-144478,2
SE682917-143972,4
SE682933-153183,3
SE682937-148939,4
SE683036-155556,3
SE683060-134500,4
SE683071-153434,2
SE683121-134336,4
SE683123-140213,4
SE683164-156181,2
SE683278-138787,4
SE683282-141489,4
SE683331-143310,2
SE683337-133785,21
SE683355-155422,4
SE683360-155697,4
SE683369-155445,4
SE683421-133742,21
SE683537-155138,4
SE683541-155565,2
SE683626-155819,2
SE683673-154083,31
SE683763-144490,4
SE683834-133404,3
SE683848-133087,4
SE683889-158554,2
SE683891-141761,4
SE683973-141263,4
SE684023-131877,3
SE684039-134130,4
SE684051-157418,2
SE684122-155396,2
SE684327-158518,4
SE684358-132168,3
SE684384-133945,4
SE684396-156754,2
SE684421-156800,4
SE684465-131810,3
SE684649-153484,4
SE684685-155493,4
SE684836-139899,4
SE684894-157398,4
SE685209-138946,4
SE685225-157216,2
SE685311-149201,4
SE685378-139231,4
SE685441-153545,2
SE685452-149999,2
SE685622-140163,2
SE685635-131076,3
SE685635-146536,2
SE685674-138417,4
SE685697-138011,4
SE685741-157279,2
SE685748-139709,4
SE685766-153123,2
SE685812-155645,4
SE685854-153310,4
SE685947-138831,4
SE686125-134315,3
SE686193-152824,2
SE686221-155981,4
SE686252-158010,2
SE686287-153693,2
SE686364-137688,4
SE686383-149132,2
SE686445-152409,4
SE686742-155222,2
SE686754-153433,2
SE686808-149317,4
SE686813-134992,4
SE686815-147075,4
SE686849-145214,25
SE686926-132169,2
SE686948-131733,3
SE686968-137954,4
SE687003-153734,2
SE687065-153820,3
SE687076-148557,2
SE687127-134217,2
SE687134-136847,2
SE687136-152253,2
SE687239-152655,2
SE687317-152189,3
SE687569-133946,3
SE687663-152476,2
SE687687-152621,2
SE687714-133802,2
SE687903-137775,4
SE687962-150570,4
SE688035-137041,4
SE688050-137907,4
SE688125-158312,4
SE688271-138240,4
SE688334-148201,4
SE688542-145289,4
SE688619-158444,4
SE688756-150833,2
SE688792-157914,4
SE688940-136343,4
SE689407-136355,4
SE689449-156940,4
SE689515-144293,4
SE689577-143831,4
SE689590-133081,4
SE689676-143202,4
SE689776-133073,4
SE689815-150792,4
SE689852-152451,2
SE689903-132730,4
SE690107-132320,6
SE690119-148450,2
SE690185-150391,4
SE690215-138462,2
SE690220-137113,2
SE690345-149315,25
SE690617-134197,31
SE690628-132515,3
SE690654-158163,4
SE690661-147797,3
SE690747-155845,4
SE690761-135188,2
SE690766-148298,2
SE690773-143330,4
SE691018-157875,4
SE691056-143498,4
SE691365-156127,31
SE691659-137415,4
SE691693-137715,4
SE691774-142441,4
SE691794-147953,4
SE691825-148565,2
SE691835-143026,4
SE692009-143156,2
SE692068-138306,4
SE692141-137626,4
SE692385-156786,2
SE692529-141407,4
SE692738-153336,4
SE692774-145681,2
SE692863-141998,2
SE692866-154650,10
SE692878-156972,2
SE693023-138213,2
SE693125-140148,4
SE693200-145771,2
SE693342-140856,4
SE693455-155462,4
SE693626-155998,2
SE693766-141283,4
SE693790-146209,4
SE693797-159720,11
SE693842-154277,2
SE693857-149428,2
SE693983-139954,2
SE693986-160466,2
SE694004-157853,4
SE694014-158096,4
SE694046-156231,4
SE694111-155328,4
SE694112-156663,4
SE694130-158817,4
SE694143-147324,4
SE694291-154626,27
SE694359-156667,4
SE694384-138571,4
SE694385-154692,4
SE694483-157679,4
SE694564-137269,4
SE694585-157998,4
SE694633-159803,2
SE694939-144561,4
SE694970-140587,4
SE694974-140899,4
SE694979-157009,4
SE695040-145001,2
SE695068-154971,3
SE695220-143383,31
SE695340-157695,4
SE695349-139107,4
SE695416-160160,4
SE695547-156640,4
SE695572-148125,2
SE695618-160634,2
SE695713-157380,1
SE695759-156888,4
SE695907-158705,4
SE695908-156219,4
SE695998-156845,4
SE696038-142985,2
SE696085-158273,4
SE696212-133571,3
SE696234-136986,4
SE696245-147346,4
SE696402-136767,2
SE696420-160806,2
SE696599-154253,4
SE696662-138040,4
SE696715-153927,4
SE697001-139169,4
SE697020-142455,4
SE697067-159376,4
SE697141-141017,4
SE697231-157849,4
SE697293-159375,4
SE697420-141974,4
SE697633-158415,3
SE697717-139085,4
SE697853-156942,3
SE697884-143493,4
SE697956-141525,4
SE698027-141916,4
SE698145-159830,2
SE698226-159287,4
SE698352-134720,3
SE698561-139682,23
SE698606-156129,4
SE698650-134991,3
SE698735-139620,25
SE698819-133700,3
SE698918-158665,31
SE698990-137182,3
SE699045-155925,4
SE699246-155171,2
SE699389-161675,4
SE699392-139462,4
SE699589-134170,3
SE699664-154125,2
SE699668-162805,4
SE699687-133956,3
SE699798-154619,2
SE699877-162593,4
SE699883-160294,2
SE699905-160653,4
SE699929-137815,3
SE699985-157593,4
SE699993-139396,4
SE700006-162943,4
SE700012-140354,4
SE700029-163440,4
SE700107-162695,3
SE700113-140449,4
SE700554-136828,3
SE700699-160705,4
SE700913-158095,4
SE700961-145577,4
SE700989-140693,4
SE701084-145619,2
SE701097-158986,4
SE701102-144305,2
SE701218-144136,4
SE701271-153786,4
SE701334-144106,4
SE701459-162839,4
SE701464-163536,4
SE701707-139605,4
SE701900-161944,4
SE701981-140392,4
SE702144-135687,3
SE702172-143255,1
SE702179-158665,4
SE702228-158302,4
SE702366-160179,4
SE702420-165460,4
SE702518-164947,2
SE702629-158342,3
SE702949-139231,4
SE702967-158056,4
SE702995-158946,3
SE703037-161089,2
SE703089-166546,2
SE703130-158915,4
SE703297-166388,4
SE703315-160922,4
SE703325-163224,2
SE703380-156152,4
SE703605-164749,2
SE703658-163516,4
SE703665-153560,4
SE703715-159686,2
SE703797-162923,2
SE703831-166712,4
SE703846-158935,3
SE703887-152394,3
SE704082-148125,25
SE704697-167025,4
SE704792-167352,4
SE704955-159090,31
SE704983-167099,2
SE705032-167633,4
SE705097-166070,4
SE705101-162503,4
SE705121-166435,4
SE705471-167698,4
SE705531-166680,4
SE705733-158330,2
SE705784-163913,4
SE705844-168354,4
SE705844-168540,4
SE705944-152099,4
SE705968-168204,4
SE706041-157858,10
SE706083-132287,31
SE706176-733260,4
SE706209-167001,4
SE706281-167258,4
SE706290-161833,4
SE706351-166606,4
SE706440-154345,2
SE706596-159778,2
SE706672-167201,31
SE706714-166899,4
SE706837-167066,4
SE706897-168718,4
SE706906-160898,4
SE707001-162237,2
SE707013-168304,4
SE707027-154763,9
SE707031-165920,4
SE707055-167290,3
SE707085-167151,3
SE707099-167251,3
SE707116-166548,4
SE707127-162316,2
SE707157-168741,4
SE707178-160916,4
SE707204-161537,4
SE707262-169987,4
SE707303-167112,3
SE707384-169697,4
SE707389-167230,14
SE707521-169817,4
SE707533-165907,4
SE707669-170020,27
SE707940-171693,11
SE708053-165382,4
SE708093-157626,3
SE708150-136804,2
SE708151-170797,8
SE708156-158894,3
SE708194-168841,3
SE708200-168907,4
SE708231-164032,4
SE708265-166557,4
SE708324-168709,3
SE708329-164372,4
SE708384-145451,4
SE708391-164935,3
SE708443-164874,4
SE708469-168092,4
SE708497-166373,4
SE708512-152086,31
SE708518-167475,4
SE708571-164169,4
SE708578-168244,4
SE708608-168268,3
SE708616-154716,4
SE708619-162132,30
SE708621-160456,4
SE708679-164162,4
SE708692-154460,3
SE708712-163626,3
SE708789-164987,4
SE708824-166421,3
SE708828-170534,8
SE708873-165460,3
SE708900-164695,4
SE708905-170346,11
SE708907-167263,4
SE708938-165378,4
SE708945-164138,4
SE708957-167219,3
SE708974-168087,4
SE708983-164744,4
SE709020-164280,3
SE709035-165331,4
SE709047-164696,3
SE709103-172517,4
SE709104-165441,3
SE709115-163680,3
SE709189-165804,3
SE709218-169710,31
SE709230-164262,4
SE709434-138937,3
SE709557-170877,4
SE709570-167474,4
SE709586-167698,4
SE709606-164587,2
SE709639-164787,4
SE709670-170623,2
SE709681-138996,1
SE709730-170528,4
SE709735-170620,8
SE709758-167299,3
SE709823-167712,4
SE709929-165949,3
SE709930-166134,3
SE709938-166268,4
SE709961-136522,3
SE709970-165987,4
SE709987-166055,3
SE710004-172451,3
SE710038-173438,4
SE710049-164151,3
SE710077-166130,4
SE710133-166055,3
SE710145-164107,4
SE710145-167078,4
SE710153-165979,4
SE710168-135929,2
SE710168-173165,4
SE710180-164899,4
SE710194-164428,4
SE710240-166313,4
SE710279-140490,3
SE710279-167016,3
SE710286-170468,3
SE710318-165419,4
SE710331-164152,3
SE710345-138917,3
SE710391-155445,4
SE710394-165835,4
SE710479-164076,4
SE710502-172948,3
SE710512-171642,4
SE710514-137473,2
SE710716-164384,4
SE710752-163961,3
SE710798-165327,3
SE710924-164360,4
SE710995-172915,4
SE711293-163997,4
SE711365-171748,31
SE711600-172343,4
SE711715-172370,4
SE711821-159338,2
SE711824-171888,4
SE711845-163398,3
SE711858-171900,4
SE711891-170953,4
SE711896-163454,4
SE711937-171691,2
SE711943-159242,3
SE711992-163463,2
SE711996-171864,4
SE712060-163420,3
SE712063-162963,4
SE712064-163280,4
SE712136-163099,4
SE712141-159164,3
SE712181-159113,2
SE712246-170866,25
SE712445-172344,4
SE712464-174705,4
SE712500-171798,4
SE712593-171503,3
SE712917-171241,4
SE713086-171962,4
SE713088-153685,8
SE713122-153438,4
SE713131-144608,25
SE713170-171290,4
SE713219-172173,4
SE713536-170916,4
SE713577-171514,3
SE713609-173544,2
SE713618-171226,4
SE713710-174015,4
SE713732-171552,4
SE713740-153304,4
SE713796-153978,4
SE713915-171146,4
SE713996-171398,4
SE714078-173836,3
SE714166-151963,4
SE714166-152823,4
SE714332-175038,3
SE714443-151928,4
SE714478-172293,3
SE714532-168570,4
SE714549-174531,3
SE714701-172111,4
SE714712-168614,2
SE714724-172254,3
SE714802-170892,4
SE714959-171709,4
SE715366-164397,4
SE715392-175825,3
SE715498-171424,4
SE715627-171605,4
SE715787-171651,4
SE715804-172509,3
SE715838-175558,3
SE715939-144535,3
SE715979-171065,3
SE716011-170342,3
SE716064-171647,4
SE716262-176362,3
SE716521-174848,8
SE716544-175899,3
SE716565-170970,2
SE716717-158596,31
SE716751-175304,6
SE716876-144120,3
SE716890-170944,2
SE717193-175287,3
SE717642-154785,2
SE717779-172319,3
SE718150-168580,25
SE718190-165882,4
SE718235-175826,3
SE718255-172950,3
SE718284-148654,24
SE718318-171777,4
SE718793-166841,2
SE718803-171318,4
SE718872-159653,2
SE719021-165441,4
SE719141-155021,4
SE719338-166972,4
SE719460-164056,4
SE720015-149848,4
SE720140-162668,2
SE720151-173812,4
SE720179-171558,3
SE720498-148900,3
SE720524-148941,3
SE720554-158077,4
SE720606-170864,3
SE720649-173565,4
SE720728-148966,4
SE720742-172498,4
SE720854-149018,4
SE720863-149396,3
SE720984-173258,4
SE721051-149504,4
SE721077-172808,4
SE721089-172260,4
SE721224-172466,4
SE721404-174495,2
SE721472-171995,4
SE721500-171408,4
SE721578-158534,2
SE721610-173758,4
SE721619-158543,3
SE721733-156716,9
SE721811-171800,21
SE721826-174131,4
SE721930-175275,4
SE722005-169697,3
SE722064-157001,3
SE722141-158181,2
SE722188-156091,9
SE722291-158486,2
SE722302-161157,2
SE722382-174108,4
SE722407-771610,4
SE722583-155287,4
SE722675-173052,4
SE722781-161306,2
SE722828-175735,4
SE722899-157298,2
SE723023-173568,4
SE723058-173218,4
SE723190-174601,3
SE723329-161534,4
SE723383-175441,22
SE723572-153480,2
SE723572-174387,4
SE723591-161219,4
SE723671-175149,4
SE724122-173305,4
SE724171-151176,4
SE724861-170630,2
SE725001-170500,4
SE725094-154274,2
SE725117-152527,2
SE725447-159682,2
SE725529-153207,4
SE725842-151280,2
SE725896-144391,4
SE726212-152058,4
SE726381-152328,21
SE726436-167782,2
SE727316-150911,3
SE727328-158350,3
SE727406-146532,3
SE727407-158111,3
SE727831-165123,4
SE728095-175926,26
SE728271-157578,25
SE728511-174192,2
SE728744-162653,31
SE728806-179329,29
SE729159-179002,12
SE729356-146651,3
SE729697-156519,2
SE730091-165102,24
SE731106-173406,2
SE731196-170873,2
SE731230-167872,2
SE731252-168380,2
SE731490-166431,2
SE731529-176967,3
SE731545-176897,3
SE731707-176853,3
SE731799-151196,25
SE732002-167678,2
SE732249-164354,2
SE732288-166282,2
SE732401-166376,2
SE732921-168705,2
SE733037-159366,9
SE733110-182955,25
SE733676-168625,2
SE736804-160569,25
SE737363-183086,20
SE737666-158035,4
SE737998-174134,4
SE739785-178268,2
SE740512-184453,2
SE740593-179204,2
SE740955-184444,2
SE741609-180170,2
SE741654-169042,4
SE742134-179805,2
SE742442-153530,25
SE742541-180291,4
SE742829-183168,31
SE743045-179220,2
SE744278-176630,2
SE744629-167999,31
SE744973-172511,2
SE745055-176583,2
SE745370-172404,6
SE745978-171574,4
SE746345-170814,3
SE746557-170948,3
SE746669-171059,2
SE747172-174841,4
SE747595-173836,2
SE748418-176444,2
SE749406-183566,4
SE749578-182668,2
SE749639-182451,3
SE749710-181663,4
SE749907-168109,4
SE750182-182541,2
SE750240-181741,2
SE751252-175433,25
SE751576-170276,4
SE751713-172755,6
SE751837-172085,2
SE751948-171660,3
SE752213-172678,2
SE752558-168274,3
SE752874-168397,6
SE753312-168796,4
SE753388-168678,4
SE753485-169066,4
SE753526-169613,4
SE753539-168542,3
SE753561-165305,4
SE753634-169257,4
SE754016-181191,4
SE754362-176732,4
SE754460-168226,4
SE754866-168671,4
SE755505-182645,2
SE757277-167340,9
SE758208-161749,29
SE758677-161050,21
SE761163-172874,4
SENO654839-126345,4
SENO662183-127764,4
SENO663199-128194,4
SENO665263-130646,2
SENO677245-131079,4
