WB,n
SE616372-133601,4
SE616711-133218,4
SE616862-134337,4
SE616936-135849,2
SE617666-135851,3
SE617710-138599,4
SE617797-135339,31
SE617883-135553,4
SE618096-133078,4
SE618108-135936,2
SE618685-133000,4
SE618722-135547,4
SE619293-136357,2
SE619310-132303,2
SE619484-133609,4
SE619626-135565,6
SE619628-138871,4
SE619690-175690,12
SE619696-132890,2
SE620062-135224,6
SE620149-136633,4
SE620341-139491,4
SE620402-135859,4
SE620406-140165,3
SE620565-131931,4
SE621157-148904,5
SE621265-173125,10
SE621484-141720,4
SE621613-132747,4
SE621643-134041,4
SE621669-141629,6
SE621688-144133,39
SE621720-175130,8
SE621766-140032,3
SE621804-139059,4
SE621920-175280,1
SE622000-172300,37
SE622011-146303,5
SE622080-176120,8
SE622126-172430,38
SE622339-172190,37
SE622349-135317,3
SE622393-134839,4
SE622476-133505,2
SE622500-172430,37
SE622613-133144,4
SE622639-133859,2
SE622731-136920,6
SE622741-132411,4
SE622795-174565,11
SE622819-135418,2
SE622842-142704,4
SE622860-173000,37
SE622893-138841,4
SE622900-174790,9
SE622971-146074,4
SE623021-146784,2
SE623033-132783,2
SE623047-144179,4
SE623082-142902,4
SE623251-138203,2
SE623300-176210,11
SE623340-175556,26
SE623379-142057,4
SE623394-147571,4
SE623412-149316,4
SE623444-133589,4
SE623552-143167,4
SE623645-135861,2
SE623716-146483,4
SE623757-146861,4
SE623797-141656,4
SE623810-180350,25
SE623819-148136,4
SE623890-178030,38
SE623921-145624,4
SE623952-143521,4
SE623979-142113,2
SE623980-175600,25
SE624118-132524,4
SE624123-136639,2
SE624173-141284,4
SE624180-141251,6
SE624216-134515,3
SE624222-131704,4
SE624254-144952,4
SE624290-150943,4
SE624295-137570,4
SE624335-180000,25
SE624364-142165,4
SE624380-176450,9
SE624397-148650,4
SE624418-144225,4
SE624511-140583,6
SE624518-146231,4
SE624587-140218,4
SE624606-135677,6
SE624615-180500,24
SE624669-133052,6
SE624770-147942,2
SE624800-181030,2
SE624815-138826,6
SE624870-175500,17
SE624899-131906,4
SE624901-149245,4
SE624928-136990,6
SE624976-138228,7
SE625000-180075,38
SE625021-146874,2
SE625087-135232,3
SE625095-151323,4
SE625157-141733,4
SE625180-181655,43
SE625342-151175,4
SE625353-133426,4
SE625416-182696,4
SE625442-141314,4
SE625500-175153,27
SE625524-131792,4
SE625541-143641,4
SE625655-151546,4
SE625659-144987,4
SE625687-138508,2
SE625694-145344,2
SE625699-135910,3
SE625702-151825,4
SE625710-183000,20
SE625752-135351,6
SE625900-174360,37
SE625909-134297,3
SE625922-131803,4
SE625946-133588,4
SE625962-142494,4
SE625975-146058,4
SE625998-143959,4
SE626000-139355,2
SE626033-143747,4
SE626082-148159,6
SE626085-144795,3
SE626148-138684,6
SE626257-147879,6
SE626304-150774,4
SE626407-132764,4
SE626442-151230,4
SE626445-134540,4
SE626600-137773,4
SE626684-151327,2
SE626706-138349,2
SE626799-154728,4
SE626842-147473,6
SE626980-144922,3
SE627058-138641,3
SE627100-148506,6
SE627226-138463,2
SE627291-150501,6
SE627342-135652,4
SE627367-151681,4
SE627461-146375,4
SE627487-133116,2
SE627544-133894,4
SE627552-135047,4
SE627586-148568,4
SE627598-155069,4
SE627611-149126,6
SE627654-141929,3
SE627780-146268,3
SE627855-134250,3
SE627882-152464,4
SE627944-137864,3
SE627954-133794,4
SE627958-134477,4
SE627971-149852,6
SE627976-139651,3
SE628013-133792,4
SE628111-149232,6
SE628132-132696,4
SE628193-142417,2
SE628219-139358,3
SE628258-133183,4
SE628323-139679,6
SE628364-146296,4
SE628376-137474,6
SE628381-133587,4
SE628480-183070,20
SE628518-133270,4
SE628606-133205,31
SE628750-183300,28
SE628768-144425,2
SE628804-132692,4
SE628830-133760,4
SE628831-133505,3
SE628837-146417,4
SE628868-146519,4
SE628880-134755,3
SE628904-135591,4
SE628913-133942,3
SE628951-132620,4
SE629022-146127,3
SE629026-147562,25
SE629031-146234,3
SE629033-140377,4
SE629057-131617,4
SE629148-143516,3
SE629163-146824,3
SE629255-148080,6
SE629290-133230,4
SE629377-133970,4
SE629382-132526,4
SE629404-132857,4
SE629447-137590,3
SE629489-133906,15
SE629511-136866,6
SE629765-131913,4
SE629773-134003,4
SE629786-142525,3
SE629874-132885,4
SE629893-153296,2
SE629906-133066,4
SE629949-132706,4
SE630000-183500,18
SE630037-135928,3
SE630037-144977,3
SE630180-182080,18
SE630181-149494,6
SE630196-147176,4
SE630203-182615,20
SE630210-187470,22
SE630294-130664,4
SE630383-183500,38
SE630386-140234,4
SE630406-143665,6
SE630480-143556,6
SE630507-147694,3
SE630560-143061,2
SE630575-132351,4
SE630622-131234,4
SE630633-132107,4
SE630685-184305,18
SE630725-141985,2
SE630734-133633,4
SE630746-150410,6
SE630747-147145,3
SE630760-183315,18
SE630764-143570,3
SE630765-137621,3
SE630826-136004,4
SE630956-136285,3
SE630963-131358,4
SE630966-136311,4
SE631040-131581,4
SE631042-134482,3
SE631051-144611,5
SE631145-145469,4
SE631187-134772,3
SE631222-150636,6
SE631304-129984,2
SE631309-134951,22
SE631317-150207,6
SE631346-184241,41
SE631360-146750,31
SE631425-153521,4
SE631450-185200,27
SE631460-185000,27
SE631500-190270,2
SE631505-143363,3
SE631509-135258,3
SE631514-148450,4
SE631542-139354,3
SE631610-184500,27
SE631638-135527,9
SE631646-185280,41
SE631706-151419,6
SE631710-188130,13
SE631721-132151,2
SE631727-151691,4
SE631769-136737,3
SE631779-133350,4
SE631840-191130,12
SE631841-138929,3
SE631843-147777,4
SE631886-131576,3
SE631910-152809,4
SE631950-144319,2
SE632030-187600,10
SE632043-134980,6
SE632050-134246,4
SE632090-189470,17
SE632090-190370,17
SE632093-131112,4
SE632137-131584,4
SE632225-147396,4
SE632229-134778,2
SE632279-148683,4
SE632287-146866,2
SE632318-143569,2
SE632371-147279,3
SE632375-135738,3
SE632431-130805,4
SE632455-150468,6
SE632465-132994,3
SE632515-146675,31
SE632521-149690,6
SE632538-131924,4
SE632538-144149,3
SE632563-147500,4
SE632658-134675,3
SE632670-190860,10
SE632726-151814,4
SE632741-148388,3
SE632760-191300,18
SE632797-136512,3
SE632813-145488,4
SE632814-140041,3
SE632840-140370,4
SE632844-129460,2
SE632937-151463,3
SE632966-143377,3
SE632979-135766,3
SE632981-145227,3
SE633000-195000,42
SE633025-142267,31
SE633034-151273,6
SE633038-141057,3
SE633043-193300,36
SE633080-132874,3
SE633097-133935,2
SE633118-140608,3
SE633118-149056,6
SE633140-148439,4
SE633153-130826,4
SE633155-131301,4
SE633163-130461,3
SE633177-145970,3
SE633186-136948,3
SE633323-147410,3
SE633331-141180,3
SE633344-130068,31
SE633400-195000,23
SE633409-147522,2
SE633422-152862,4
SE633438-130484,3
SE633443-153993,4
SE633494-145972,3
SE633503-130204,3
SE633545-131063,4
SE633550-200700,32
SE633650-138207,6
SE633687-151413,4
SE633694-130681,4
SE633734-138368,3
SE633778-134152,3
SE633816-137033,3
SE633911-134035,3
SE633922-141070,2
SE633932-131181,4
SE633956-134984,2
SE633959-144217,6
SE633966-131385,4
SE633976-142928,3
SE633982-145948,4
SE634039-130685,6
SE634040-193330,4
SE634052-132438,4
SE634053-128887,4
SE634076-142599,6
SE634110-201920,2
SE634172-141113,3
SE634177-137086,3
SE634207-132161,14
SE634210-202020,2
SE634225-138425,3
SE634230-201605,29
SE634252-150052,4
SE634260-143778,4
SE634284-131981,4
SE634331-156907,3
SE634336-129910,4
SE634342-138677,3
SE634350-202000,1
SE634378-130353,3
SE634450-134892,2
SE634467-129859,3
SE634482-145983,3
SE634570-147131,6
SE634580-139854,3
SE634588-131353,4
SE634589-149945,4
SE634665-143220,6
SE634666-147194,6
SE634690-142635,3
SE634730-142429,6
SE634740-203020,12
SE634751-130909,3
