EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Tillkomst/härkomst	Vattentyp - Vattendrag	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Avrinningsområde	Färg (Humus)	Bakgrundsalkalinitet
SE718366-168541	Sikån	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE717387-171056	Rickleån	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE714216-172718	Tvärån	Rickleån - SE24000	Västerbotten - 24	Robertsfors - 2409, Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE719528-168732	Rickleån	Rickleån - SE24000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE716970-168749	Sävarån	Sävarån - SE26000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE716784-168831	Kvarnbäcken	Sävarån - SE26000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE717365-168131	Sävarån	Sävarån - SE26000	Västerbotten - 24	Skellefteå - 2482, Vindeln - 2404	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE717212-168477	Sävarån	Sävarån - SE26000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE713996-171398	Norsån	Sävarån - SE26000	Västerbotten - 24	Umeå - 2480	SE1	SE1	Mellanbygden med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE711375-165077	Tällvattsbäcken	Öreälven - SE30000	Västerbotten - 24	Bjurholm - 2403, Lycksele - 2481	SE1	SE1	Södra Västerbotten med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE716423-162026	Bäverbäcken	Öreälven - SE30000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Södra Västerbotten med kustvatten	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE717109-160714	Öreälven	Öreälven - SE30000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Södra Västerbotten med kustvatten	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE712499-164846	Vajbäcken	Öreälven - SE30000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Södra Västerbotten med kustvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE707212-170937	Åhedån	Kustområde - SE28029	Västerbotten - 24	Umeå - 2480	SE1	SE1	Södra Västerbotten med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
