EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Tillkomst/härkomst	Vattentyp - Vattendrag	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Avrinningsområde	Färg (Humus)	Bakgrundsalkalinitet
SE697597-150200	Rotån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE697605-132464	Struvtenjaurejukke / Strovhtenjauvriejohke	Nean - SE114000	Jämtland - 23	Berg - 2326	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE697605-145717	Forsaån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE697605-160400	SE697605-160400	Kustområde - SE38039	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE697680-153428	SE697680-153428	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE697687-133346	Skärkan	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V1LNY	V	1	L	N	Y
SE697687-142564	SE697687-142564	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE697693-144709	Gölån	Ljungan - SE42000	Jämtland - 23	Berg - 2326, Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE697766-157905	Långmyrbäcken	Indalsälven - SE40000	Västernorrland - 22	Härnösand - 2280, Kramfors - 2282, Sollefteå - 2283	SE2	SE2	Nedre Indalsälven	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE697767-133518	SE697767-133518	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V1SNY	V	1	S	N	Y
SE697771-132005	Kloppanån	Nean - SE114000	Jämtland - 23	Berg - 2326	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE697815-145624	Forsaån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305, Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE697815-160056	SE697815-160056	Kustområde - SE38039	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE697826-135231	SE697826-135231	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE697924-132455	SE697924-132455	Nean - SE114000	Jämtland - 23	Berg - 2326	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE697938-147761	Binnån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE697944-138158	Höstan	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE697995-131363	Biskopsån	Nean - SE114000	Jämtland - 23	Berg - 2326	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE697999-161213	SE697999-161213	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE698002-131131	Skarvdörrsån mellan sjöar	Nean - SE114000	Jämtland - 23	Berg - 2326	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE698062-138214	Höstan	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE698073-132507	SE698073-132507	Nean - SE114000	Jämtland - 23	Berg - 2326	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE698081-133709	SE698081-133709	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V1SNY	V	1	S	N	Y
SE698145-159830	Kramforsån	Kustområde - SE38039	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3LNN	V	3	L	N	N
SE698150-156719	Häggsjöbäcken	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE698157-155134	Kvarnån	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE698163-147565	Värsjöbacken	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE698250-162245	SE698250-162245	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SNN	V	3	S	N	N
SE698255-136884	Tossåssjöån	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE698256-131262	Skarvdörrsån	Nean - SE114000	Jämtland - 23	Berg - 2326, Åre - 2321	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE698305-140577	SE698305-140577	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE698307-162378	Sundströmmen	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SNN	V	3	S	N	N
SE698309-159340	Kramforsån	Kustområde - SE38039	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE698374-145978	Hållborgsån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305, Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE698374-152082	Ljungån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE698384-153036	Dalsbäcken	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE698387-159144	Bodån	Kustområde - SE38039	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE698389-150025	Ansjöån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE698460-161642	SE698460-161642	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE698561-144952	Lokbäcken	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE698562-142383	Häggån	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE698628-140452	SE698628-140452	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE698628-155981	Malmån	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE698734-161081	Noraån	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SNN	V	3	S	N	N
SE698735-161028	SE698735-161028	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SNN	V	3	S	N	N
SE698743-146927	Gålösån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE698748-134351	SE698748-134351	Ljungan - SE42000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE698840-133544	Ljungan	Ljungan - SE42000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Ljungan	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE698920-141544	SE698920-141544	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE698924-131717	SE698924-131717	Nean - SE114000	Jämtland - 23	Åre - 2321	SE2	SENO1102		RW	Vattenförekomst	NV(R)	V1SNN	V	1	S	N	N
SE698932-154190	Indalsälven	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE698947-132271	SE698947-132271	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE699016-132430	Östra Ekorrån / Aerevedurrienjohke	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE699016-151830	Ljungån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699026-132231	SE699026-132231	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE699104-151621	Lillån	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699105-144488	Musån	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2SNY	V	2	S	N	Y
SE699110-152212	Prästån	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699111-144654	Musån	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE699177-145577	Hållborgsån	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE699187-146888	Åtjärnbäcken	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE699188-152645	SE699188-152645	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3SNN	V	3	S	N	N
SE699306-138694	Björnsjöån	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699306-140693	Allvarsån	Indalsälven - SE40000	Jämtland - 23	Berg - 2326, Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE699308-148163	Sännån	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699314-156667	Ejdån	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE699389-158750	Källarbäcken	Kustområde - SE38039	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE699389-161675	Inviksån	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE699392-139462	Lekarån	Indalsälven - SE40000	Jämtland - 23	Berg - 2326, Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699401-143213	Haraån	Indalsälven - SE40000	Jämtland - 23	Östersund - 2380	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2SNY	V	2	S	N	Y
SE699404-135022	Gråsjöån	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699442-161825	Tvärån	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE699447-148546	Bånglokbäcken	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699454-156101	Ledingsån	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE699457-154579	Järån	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE699563-147729	Sännån	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699570-134322	SE699570-134322	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE699572-148458	Vindån	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305, Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699572-153857	Litjärnån	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE699624-145589	Grässjöbäcken	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2SNY	V	2	S	N	Y
SE699633-133258	SE699633-133258	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE699640-150495	Flodalsbäcken	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305, Ragunda - 2303	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699644-152797	Skyltbäcken	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE699683-145553	Hållborgsån	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE699686-148044	SE699686-148044	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699697-151981	Singsån	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE699702-132618	SE699702-132618	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE699798-154619	Rosmyrbäcken	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE699798-158058	Bruksån	Ångermanälven - SE38000	Västernorrland - 22	Kramfors - 2282, Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE699812-138583	Björnsjöån	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699889-132162	Sylälven	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE699889-135283	Storbodströmmen	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699897-145518	SE699897-145518	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	SE2	SE2	Gimån	RW	Vattenförekomst	NV(F)	V2SNY	V	2	S	N	Y
SE699974-141750	Svartbodån	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE699978-138795	Dammån	Indalsälven - SE40000	Jämtland - 23	Berg - 2326, Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE699983-144626	SE699983-144626	Indalsälven - SE40000	Jämtland - 23	Östersund - 2380	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2SNY	V	2	S	N	Y
SE700039-151034	Koviksbäcken	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3LNN	V	3	L	N	N
SE700072-156367	Bäckingesbäcken	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700187-162064	Backeån	Kustområde - SE37038	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700191-140421	Storbäcken	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE700194-160399	Loån	Ångermanälven - SE38000	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700196-134732	Tvärån / Häldrekenjukke / Hilrehkenjohke	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE700266-138520	Acksjöån	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE700271-163388	SE700271-163388	Kustområde - SE37038	Västernorrland - 22	Örnsköldsvik - 2284	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700275-136178	Grönan	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE700276-156040	Bäckingesbäcken	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700284-160583	Loån	Ångermanälven - SE38000	Västernorrland - 22	Kramfors - 2282	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700331-142027	SE700331-142027	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2LYN	V	2	L	Y	N
SE700332-133618	SE700332-133618	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE700337-141848	Tallåsbäcken	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE700341-150234	Höglundabäcken	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE700422-146424	Singån	Indalsälven - SE40000	Jämtland - 23	Bräcke - 2305, Östersund - 2380	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE700433-143221	SE700433-143221	Indalsälven - SE40000	Jämtland - 23	Östersund - 2380	SE2	SE2	Storsjöbygden	RW	Vattenförekomst	NV(F)	V2SNY	V	2	S	N	Y
SE700520-137163	Fangan	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE700521-132444	Lill-Ulvån	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE700578-149331	Indalsälven	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3LNY	V	3	L	N	Y
SE700588-163016	SE700588-163016	Kustområde - SE37038	Västernorrland - 22	Örnsköldsvik - 2284	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700589-135011	SE700589-135011	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE700685-134686	Tvärån / Storenjohke	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE700692-149431	Mörtån	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3LNY	V	3	L	N	Y
SE700694-159940	Högforsån	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE700743-160331	SE700743-160331	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700749-159177	Ångermanälven	Ångermanälven - SE38000	Västernorrland - 22	Kramfors - 2282, Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE700752-157123	Kölsbäcken	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700755-146917	Sännån	Indalsälven - SE40000	Jämtland - 23	Östersund - 2380	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE700828-150624	Norråsbäcken	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V3LNY	V	3	L	N	Y
SE700830-146268	Nästsjöån	Indalsälven - SE40000	Jämtland - 23	Östersund - 2380	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE700830-162610	Näskeån	Kustområde - SE37038	Västernorrland - 22	Örnsköldsvik - 2284	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE700838-147476	Naverån	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303, Östersund - 2380	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE700923-149856	Tallflobäcken	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2LNY	V	2	L	N	Y
SE700939-139795	Österån	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE701020-139452	Järvdalsbäcken	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE701036-163288	SE701036-163288	Kustområde - SE37038	Västernorrland - 22	Örnsköldsvik - 2284	SE2	SE2	Norra Höga kustens inlandsvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE701037-135088	SE701037-135088	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE701109-152148	SE701109-152148	Indalsälven - SE40000	Jämtland - 23	Ragunda - 2303	SE2	SE2	Mellan Indalsälven	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE701116-139183	Storbodströmmen	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	KMV(F)	V2LNN	V	2	L	N	N
SE701125-132136	SE701125-132136	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE701129-135189	SE701129-135189	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	SE2	SE2	Övre Indalsälven	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE701324-156484	Näcksjöån	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	SE2	SE2	Nedre Ångermanälven	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
